Timestamp,Source_IP,Destination_IP,Protocol,Activity,Threat_Type,Severity,Status,Label
3/9/2026 2:55,192.168.162.200,192.168.59.142,DNS,Unauthorized access,DNS Poisoning,Low,Detected,Suspicious
1/18/2026 9:05,192.168.245.56,10.5.49.220,ARP,Suspicious packet flow,SQL Injection,High,Blocked,Suspicious
3/1/2026 4:32,192.168.253.126,192.168.130.200,UDP,Unauthorized access,Phishing,High,Detected,Suspicious
3/11/2026 6:09,192.168.246.153,172.25.238.209,UDP,Abnormal lookup,Malware Activity,Low,Monitored,Normal
4/27/2026 19:19,192.168.137.50,10.247.234.128,UDP,Regular communication,Brute Force,Medium,Detected,Suspicious
2/16/2026 4:03,172.31.205.186,172.31.129.62,HTTP,Normal traffic,Brute Force,Low,Monitored,Suspicious
1/4/2026 23:10,10.120.198.143,172.24.60.134,UDP,Connection retry,Phishing,Medium,Monitored,Normal
3/7/2026 6:08,172.26.70.207,10.24.66.178,DNS,Unauthorized access,Phishing,High,Monitored,Normal
3/20/2026 16:55,172.20.252.18,10.176.49.70,UDP,Normal traffic,Phishing,High,Monitored,Normal
1/11/2026 0:07,10.228.80.30,172.18.116.198,TCP,Unauthorized access,ARP Spoofing,Low,Blocked,Normal
4/15/2026 9:43,172.22.230.10,172.19.243.125,UDP,Suspicious packet flow,SQL Injection,High,Detected,Normal
4/28/2026 23:12,172.27.126.46,10.252.129.3,HTTP,Repeated requests,ARP Spoofing,Medium,Detected,Suspicious
3/7/2026 6:45,172.20.75.88,10.64.166.147,TCP,Connection retry,DDoS,High,Blocked,Suspicious
2/16/2026 9:29,192.168.58.53,10.93.11.18,UDP,Connection retry,Phishing,Low,Monitored,Suspicious
2/8/2026 17:28,10.223.61.0,192.168.171.84,HTTP,Connection retry,Phishing,Low,Blocked,Normal
3/31/2026 3:53,172.17.49.32,192.168.93.92,HTTP,Repeated requests,DDoS,High,Detected,Suspicious
2/27/2026 0:24,172.26.131.58,10.243.207.175,ARP,Suspicious packet flow,SQL Injection,Low,Detected,Normal
4/29/2026 2:15,192.168.118.235,172.24.213.1,TCP,Unauthorized access,DDoS,High,Detected,Suspicious
4/8/2026 9:04,10.37.192.16,192.168.169.31,DNS,Unauthorized access,Phishing,High,Blocked,Suspicious
3/3/2026 17:11,172.31.231.179,10.220.229.34,DNS,Repeated requests,ARP Spoofing,Low,Detected,Suspicious
1/5/2026 13:28,192.168.219.5,10.90.74.108,HTTP,Connection retry,Brute Force,High,Blocked,Suspicious
4/9/2026 15:27,172.28.34.57,192.168.120.15,HTTP,Unauthorized access,SQL Injection,Medium,Blocked,Suspicious
3/31/2026 5:28,192.168.41.82,172.27.91.202,ARP,Suspicious packet flow,DDoS,High,Detected,Normal
4/26/2026 7:40,192.168.142.126,10.17.72.185,UDP,Regular communication,Brute Force,High,Monitored,Suspicious
2/6/2026 11:06,192.168.194.67,172.24.143.113,TCP,Repeated requests,Malware Activity,Medium,Blocked,Normal
1/27/2026 12:00,192.168.253.255,10.145.38.130,DNS,Suspicious packet flow,Malware Activity,Medium,Monitored,Normal
2/12/2026 15:05,10.205.215.214,10.214.96.10,DNS,Connection retry,Malware Activity,Medium,Monitored,Suspicious
4/11/2026 12:02,192.168.148.128,192.168.15.187,DNS,Unauthorized access,Malware Activity,Low,Monitored,Normal
2/21/2026 4:45,172.21.160.32,192.168.175.204,UDP,Suspicious packet flow,DDoS,Medium,Blocked,Normal
4/27/2026 16:50,10.37.165.193,10.152.205.255,HTTP,Regular communication,Phishing,Medium,Blocked,Suspicious
1/4/2026 20:44,10.87.58.214,192.168.102.232,ARP,Unauthorized access,Phishing,Low,Detected,Suspicious
3/14/2026 9:29,172.28.92.122,172.23.152.42,DNS,Suspicious packet flow,Malware Activity,Medium,Blocked,Normal
2/16/2026 23:16,192.168.86.40,192.168.211.59,TCP,Suspicious packet flow,ARP Spoofing,Medium,Detected,Suspicious
4/23/2026 4:21,172.17.112.21,10.64.171.208,UDP,High request rate,Phishing,Medium,Blocked,Suspicious
4/11/2026 13:01,192.168.56.14,192.168.121.104,TCP,Regular communication,Malware Activity,Low,Detected,Normal
4/16/2026 13:36,10.31.217.100,10.193.104.210,DNS,Suspicious packet flow,DDoS,High,Detected,Normal
4/8/2026 10:52,192.168.154.80,10.41.85.106,TCP,Connection retry,ARP Spoofing,High,Detected,Suspicious
4/17/2026 5:06,10.215.28.59,172.27.87.243,HTTP,Abnormal lookup,DDoS,Medium,Monitored,Normal
2/24/2026 23:42,10.252.37.22,192.168.164.201,TCP,Abnormal lookup,Malware Activity,Low,Blocked,Normal
3/12/2026 5:29,192.168.148.82,172.28.156.26,UDP,Suspicious packet flow,DNS Poisoning,High,Blocked,Normal
3/15/2026 9:13,192.168.127.51,192.168.118.38,ARP,Connection retry,DDoS,High,Blocked,Normal
1/15/2026 22:44,10.37.217.211,192.168.197.47,ARP,Abnormal lookup,DNS Poisoning,High,Monitored,Suspicious
3/10/2026 0:48,192.168.148.157,172.17.101.120,TCP,Connection retry,DNS Poisoning,Low,Detected,Normal
1/17/2026 3:49,172.28.31.98,192.168.222.230,UDP,Suspicious packet flow,Phishing,Medium,Detected,Suspicious
2/26/2026 15:42,172.27.95.64,192.168.103.196,TCP,Suspicious packet flow,DDoS,Low,Blocked,Suspicious
3/8/2026 11:44,10.229.89.207,172.23.221.243,TCP,Normal traffic,DNS Poisoning,Medium,Monitored,Suspicious
1/24/2026 21:39,192.168.29.35,192.168.212.143,DNS,High request rate,Brute Force,High,Detected,Suspicious
4/29/2026 12:39,172.21.154.85,172.24.69.203,DNS,Connection retry,Brute Force,High,Detected,Suspicious
1/19/2026 5:36,10.167.192.11,10.197.154.227,ARP,Normal traffic,Brute Force,Medium,Detected,Suspicious
3/3/2026 10:45,192.168.173.183,192.168.2.23,HTTP,Regular communication,DNS Poisoning,Medium,Monitored,Suspicious
1/23/2026 11:22,10.113.255.43,10.222.109.5,ARP,Regular communication,ARP Spoofing,Low,Monitored,Suspicious
2/14/2026 10:49,192.168.153.223,10.145.31.14,TCP,Regular communication,SQL Injection,High,Detected,Normal
3/29/2026 2:04,192.168.48.163,172.23.164.228,UDP,Suspicious packet flow,Malware Activity,Low,Detected,Suspicious
3/13/2026 7:35,192.168.49.140,172.28.233.175,TCP,Abnormal lookup,DDoS,Low,Blocked,Suspicious
2/16/2026 13:36,172.16.218.23,172.22.0.150,ARP,High request rate,ARP Spoofing,Medium,Blocked,Suspicious
1/16/2026 18:22,192.168.238.88,10.192.104.133,TCP,High request rate,ARP Spoofing,High,Detected,Normal
5/4/2026 1:06,10.119.185.131,192.168.226.137,DNS,Regular communication,Phishing,High,Monitored,Normal
3/24/2026 16:54,192.168.224.96,192.168.182.46,TCP,Regular communication,Brute Force,Medium,Detected,Normal
1/4/2026 0:40,10.51.74.4,10.119.3.131,DNS,Connection retry,ARP Spoofing,High,Blocked,Suspicious
2/20/2026 22:24,192.168.18.47,10.125.125.8,ARP,High request rate,ARP Spoofing,Medium,Blocked,Normal
2/27/2026 13:14,10.60.164.128,10.82.236.33,TCP,Regular communication,SQL Injection,Medium,Blocked,Suspicious
2/16/2026 15:03,10.117.98.250,10.126.239.68,DNS,Repeated requests,DDoS,Medium,Blocked,Normal
1/9/2026 19:23,192.168.87.238,172.25.160.70,DNS,Suspicious packet flow,Malware Activity,Low,Blocked,Normal
4/29/2026 10:24,10.170.67.118,192.168.254.21,ARP,High request rate,SQL Injection,Medium,Detected,Normal
1/18/2026 19:06,10.25.90.149,10.172.19.155,TCP,Repeated requests,Brute Force,High,Detected,Suspicious
3/21/2026 1:47,172.18.27.201,172.31.84.214,DNS,Regular communication,ARP Spoofing,Medium,Blocked,Normal
1/2/2026 22:39,192.168.107.134,192.168.40.36,DNS,High request rate,Phishing,Low,Detected,Normal
1/22/2026 17:46,172.16.249.17,192.168.72.203,HTTP,Unauthorized access,DNS Poisoning,Low,Detected,Suspicious
4/7/2026 6:53,10.43.107.21,192.168.70.107,UDP,Connection retry,SQL Injection,Low,Monitored,Suspicious
1/24/2026 9:18,192.168.203.55,172.19.217.97,HTTP,Regular communication,SQL Injection,Medium,Monitored,Normal
1/2/2026 11:41,10.228.173.3,172.27.231.49,HTTP,Repeated requests,ARP Spoofing,High,Detected,Suspicious
5/3/2026 8:51,192.168.206.172,172.31.217.200,ARP,Normal traffic,DDoS,High,Blocked,Suspicious
4/20/2026 21:20,10.232.35.187,192.168.179.41,ARP,Repeated requests,Brute Force,High,Blocked,Suspicious
4/5/2026 13:40,192.168.208.45,172.22.225.228,TCP,Abnormal lookup,Phishing,Low,Detected,Suspicious
4/14/2026 21:20,172.27.245.95,172.23.34.114,ARP,Abnormal lookup,Brute Force,Medium,Detected,Normal
4/29/2026 11:05,192.168.208.217,192.168.221.43,UDP,High request rate,DDoS,Medium,Detected,Suspicious
4/14/2026 5:53,10.85.54.227,172.27.247.17,ARP,Regular communication,Malware Activity,High,Detected,Suspicious
1/20/2026 19:35,172.28.111.65,172.17.71.171,TCP,Repeated requests,DNS Poisoning,High,Detected,Suspicious
2/28/2026 4:21,172.23.111.85,192.168.144.142,DNS,Unauthorized access,DDoS,Medium,Monitored,Normal
1/4/2026 12:41,172.30.121.136,172.17.69.233,TCP,Abnormal lookup,ARP Spoofing,Low,Detected,Normal
1/20/2026 12:57,192.168.207.6,172.28.81.103,HTTP,Repeated requests,ARP Spoofing,Low,Blocked,Normal
1/28/2026 7:00,10.226.29.221,172.19.47.94,HTTP,Unauthorized access,DNS Poisoning,Medium,Monitored,Suspicious
4/8/2026 12:24,10.106.101.20,172.27.237.61,DNS,Normal traffic,Brute Force,Medium,Detected,Suspicious
4/23/2026 13:50,10.55.147.197,172.20.45.77,HTTP,Connection retry,Phishing,High,Blocked,Normal
3/14/2026 0:37,172.30.149.90,10.42.28.145,TCP,Regular communication,DDoS,Low,Monitored,Suspicious
3/10/2026 3:07,10.115.78.227,172.18.230.28,UDP,Normal traffic,SQL Injection,High,Detected,Normal
4/20/2026 9:36,10.33.54.251,10.5.55.96,TCP,Abnormal lookup,SQL Injection,Low,Detected,Suspicious
1/1/2026 3:18,10.214.212.213,192.168.146.6,HTTP,Repeated requests,Malware Activity,Medium,Blocked,Normal
1/18/2026 16:43,192.168.128.108,172.17.227.7,DNS,Abnormal lookup,Phishing,High,Detected,Normal
1/1/2026 17:46,172.20.25.229,10.157.100.210,ARP,Suspicious packet flow,SQL Injection,Medium,Blocked,Normal
3/7/2026 7:02,192.168.48.231,192.168.174.189,ARP,Unauthorized access,Phishing,Medium,Blocked,Normal
4/17/2026 1:29,10.80.170.126,172.30.12.188,TCP,Unauthorized access,SQL Injection,Low,Detected,Normal
4/21/2026 1:33,10.46.132.171,10.37.100.209,HTTP,Unauthorized access,Brute Force,High,Monitored,Normal
1/3/2026 5:43,172.23.62.215,172.24.69.72,UDP,Connection retry,SQL Injection,Medium,Detected,Normal
4/8/2026 15:19,172.18.174.176,10.60.88.80,ARP,Regular communication,DNS Poisoning,Low,Blocked,Suspicious
